isEdited,rating,userName,date,review,title,developerResponse
False,3,Ricky1066,2022-01-19 03:29:47,"I have used Wise for the past 18 months, and its utility has dropped in the past six months or so. Previously, a transfer from the United States to Thailand would be accomplished within hours, and sometimes within minutes. But now, even the most minor transfer takes days. That is so despite the fact that at each step of the transfer process, the Wise app tells me my money should arrive “in seconds.“ But when all the inputs have been made and you actually hit submit, suddenly you are advised that your money will not arrive for two or three days. It’s like a bait and switch.

 Moreover, for many of us living in other countries, it is important that the money be received as a “foreign funds transfer“ for immigration or visa purposes. But using wise you never know whether the money will be received as a foreign funds transfer or a domestic intra-bank transfer. For both of these reasons, I have tended to use a normal wire transfer from my American bank to send money to Thailand because I just cannot rely on Wise anymore.",Unpredictable and unreliable,"{'id': 28060522, 'body': ""Hello there,\n\nWe aim to complete all transfers as fast as possible, but delays can happen for different reasons. It could be because the transfer was set up closer to the weekend/holidays, or because we needed to carry extra checks. \r\n\nWe work with partner banks, and that's why your money is actually moved locally, and we consider those as domestic transactions.\n\nWise."", 'modified': '2022-02-15T11:48:41Z'}"
False,1,Navyman21,2022-02-23 16:56:31,"When you call their phone number, you get a rep in a foreign country that has very limited ability to do anything !! Basically, they’re just incompetent script readers. They’re technology doesn’t work !! I can’t even get simple “push notifications” on my phone and their own reps confirmed my notifications are set up correctly. And I have a BRAND NEW IPHONE 13 !! So it’s not like I have outdated technology or something ?? Called 3 times over a week and 1/2 requesting their I.T. department reach out to me for help and nothing !! No follow up, no email, and no phone call !! One of their reps didn’t even know that “push notifications” was an option ?!?! Seriously Wise ??? If I can’t get something as SIMPLE as a push notification to work, do you REALLY think I’m going to trust you to hold my money ?? Receive my paycheck ?? Or allow you to transfer money to my bank account overseas ??? DEAR WISE, YOU’RE A JOKE AND A SCAM !!! And no, I’m not going to reach out for help on the app or social media…. I tried that 3 times and YOU FAILED !!! I’m closing my account and  making sure that NOBODY opens an account with you !!! 😡😡 You should NOT be in business !!! You need to be shut down !!!",UNACCEPTABLE !!!,
False,5,SlickVick82,2018-04-25 23:01:58,"I waited for nearly 6 months before writing this review to be sure I was 100% satisfied with Transferwise. 

I move money from London to Mexico, and from London to USA on a monthly basis. I’m a remote worker who lives between Mexico and the US but work for a London-based company and therefore am paid from London. I use Transferwise (and the London-based account that I’ve setup via Transferwise) to accept my direct deposit and then move my money to my accounts in Mexico or the US, depending on where I am at any given time. This app works rather flawlessly and it has insanely fast times - faster than a normal bank-to-bank transfer at a very, VERY reasonable cost.

This app allows me to send money to any of my accounts to ensure I have money to spend, money in savings, and money in other accounts which I use for bill-pay.

This is an excellent tool that I cannot recommend enough. I’ve had no problems whatsoever and when I called customer service once to inquire about certain types of transfers, they were extremely transparent and down-to-earth.

If you need to transfer money between countries - whether to yourself or others, this is a must-have app. Thanks again, your service is cost-effective and highly valuable to me. A great tool that I cannot say enough about.",Invaluable Tool for Anyone Moving Money Internationally,
False,1,nujabeat,2021-10-07 04:55:18,"where do I even begin with this app? I used them for almost 3 years with no issues until recently.  Somehow my information got leaked and so I asked to close my account. I was in the middle of a transfer so obviously that didn’t go through so what would you expect next? To get your money refunded back to you, however it has now been almost a week and I have not received my money. I chatted with their “customer service” multiple times, sent many different forms of Identification to prove it was me as well as the statements from my bank showing that they sent the transfer to Wise and yet it’s not enough for them? They also take forever to respond if you send them an email. Their phone service hours are impossible if you live in a different country so you can’t call them. I ask for them to call me and they can’t even give me a specific time on when they will. Absolutely horrendous customer service. I threatened to bring my lawyer into this because it’s a huge sum of money. Once I get it back I’m NEVER using this app again and I have told all my friends abroad who were using it to quit ASAP.",STAY FAR AWAY.,"{'id': 25902386, 'body': ""Sorry to hear you didn't have the best experience with us. When it comes to refunds, we try to send your money back to you as fast as we can, but there are delivery times for refunds as well. For example, if you have made your payment by card, the refund will happen within 10 working days. That's why your money might not be available right away. Also, if you have reached to let us know you think your account was compromised, we'll need to carry an investigation from our side as well, to make sure we're talking with the account owner and that the refund is issued to the correct account as well. This is all to keep your data and money safe. \nWise."", 'modified': '2021-10-26T11:11:27Z'}"
False,3,TonyShear,2020-02-07 10:45:45,"So I clicked Apple Pay and the screen glitched and it literally charged my first card which was a credit card. I did notify a representative and he told me it’s possible that I could incur a fee but why should I. The fee is from a US bank but not them. I am disputing this as this wasn’t the card I wanted and it never let me scroll my cards. Charges have been incurred due to a cash advance fee. I refuse to pay the cash advance fee. I would get someone to look at the Apple app feature even thou I would never ever use it again. Other than that everything else seems to work fine. I just connect my card directly now.

Now for the app and the service of TransferWise I think it’s great and even thou It started on the wrong foot, I think the idea and the service is wonderful. I spoke to Alan and he walked me through everything and made feel very comfortable. Don’t take my three stars as for the service which is 5 stars but take the 3 stars for app. The Apple Pay option made me real nervous.",The apple app glitched and charged my first card,"{'id': 13497172, 'body': 'Hi Tony, Thank you for your feedback. \r\n\r\nWe are constantly working on our app and improving the experience for our customers. We appreciate the feedback and in the future if you need to report something such as a bug or the app crashing you can do this from the settings in your app or by reaching out to us at Transferwise.com/contact\r\n\r\n-Ro', 'modified': '2020-02-14T22:13:01Z'}"
False,4,Demingfan1,2022-02-10 18:08:50,"Currently I am using this account for personal finances, not business. 
First of all, let me say that I, as a US customer, love having the ability to have an account where I can convert USD to GBP & Euros. AND to now have a debit card for traveling is fantastic. My husband & I are planning to move to the UK part time in retirement and using Wise will provide me the ability to manage our finances wherever we are.

 Maybe it’s just me, but I think that because this app is designed by UK banking, the app is not as intuitive as my regular US banking app. For some reason, it’s difficult to navigate and find the transaction that i want to make even if I’ve done it before. I find myself going to the help section a lot. In addition, there is no way to create a joint account- I am able to add my husband as a “helper” but he doesn’t have full joint privileges. He will have full inheritance rites and the ability to use the account, however, I’m not certain what his limits in using the account are. I had to contact Wise Banking through the help number and they e-mail the form & directions because actual signatures are required - which is fine as these are regulatory safety steps.

I do highly recommend Wise and Wise was recommended to me my dear friend in the UK.  I’m sure I will learn how to negotiate the app better with time.",Good app but Not As Intuitive for US Customers,
False,5,Brbarlow,2021-09-14 23:37:00,"Half of my family lives in Switzerland so as banking services leapt ahead with technology, it was frustrating to see international money transfers stay in the 1990s during the Age of Venmo. $35 wire transfer fees? No thanks. Visiting a branch? Yeah, how about no. Paying crazy fees for currency conversion when sending money? Outrageous. Downloaded Wise and holy cow, my wishes were granted. It’s easy! It saves your info. The transfers are fast. It notifies you all along the process. The fees are a fraction of my old wire transfer days… usually under $10. It was actually so easy that I legit thought I was doing something wrong and sent a small amount as a test and was surprised it actually showed up. Since then, I’ve transferred to various accounts for my family overseas in small amounts and larger amounts and it’s never been anything besides great.",Amazing,
True,1,Fadious,2020-07-10 05:10:26,"This company took $10k USD from my account and then closed my account without any explanation and customer service does not answer anything on deactivated accounts according to their joke of a customer service line. Don’t get fooled. This is just a scam company. 
So now they reply to this review by saying that they will refund my money once they do their ´due diligence’. Why did they not do this due diligence before they took my money. The fact is they did do their due diligence and stole the money. Then you go to their website and it says that they can take up to 90 days to refund the money. So basically, instead of wiring my own money from my account to my other account, they get to keep my cash for three months and I am lucky if I get it back. This is what they have done to all their customers. It is a systematic way. This is the system. This company is the biggest fraud I have personally encountered and hope that people read this review and never use them. I also wish Apple would take this seriously and investigate this fraudulent company.",Scam,"{'id': 16516716, 'body': ""I'm sorry to hear that your account has been deactivated. If you have not already, please follow up with our team by filing an appeal here: https://transferwise.com/appeals. If we're unable to reopen your account, we'll refund your balance once we have completed our due diligence.  \r\n\r\n-Zach\r"", 'modified': '2020-07-10T05:10:26Z'}"
False,1,nickname_nicknamerson,2022-03-10 02:02:40,"If you need to send money abroad, especially to someone in Ukraine who is a war refugee and desperately needs funds to cover basic needs, do not bother to do business with this company. You input all the info, they initiate the transfer, then they decide to verify you without giving any specific reason why, instruct you to look for that info + how to fix it in an email that never arrives, give you unreliable estimates for how long it may take to verify you and then, after a few days of keeping you waiting, they simply cancel the transfer. No reason given whatsoever. Meanwhile your money has been taken out of your account and it will take several business days for it to be returned. Oh, and don’t bother calling because you will grow old waiting on the line. You may be luckier via chat but the representatives will be absolutely useless and will only give you standard answers that they probably copy and paste from some communication manual they’re given. Absolute garbage.","Zero transparency, useless money transfer service",
True,1,I Dont Like Wise Anymore,2021-09-18 18:00:57,"TL;DR: Don’t use this app, you’ll simply waste your time. 0 stars if possible

So I opened a TransferWise account a few month ago to send myself money from my USA account to my Thailand bank accounts. I made the mistake to use apple’s hide my email feature during sign up. Wise deactivate my account without sending me an email. So when I need to send money I wasn’t aware my account wasn’t working until it was too late and I ended up look like an idiot. I might be so who know. Anyways I left a comment and Wise responded saying, I should appeal my account deactivation. Which I did and they kept it shut.

So months later, I’m opening an account with OpenCollective, a site where my company can publicly receive donations and contractors can request payments from set donations. Turns out that they use Wise to transfer the funds from my company account to my contractors account. I begrudgingly opened a Business account knowing how last time went…. And guess what? My business’ account has been shut down and I don’t know why and I needed to pay my contractors today. Also no email. I’ll go back to using Remitly. They have helped me for the past few months and I haven’t had any issue with them. I’m not endorsing Remitly and this is not a paid add, just look at the review on App Store, Remitly has more downloads and 5 stars, wise is slowing loosing the 5 stars. 

All in all I’m done, gotta go pay some hardworking men and women. Good day.","2nd Time, Still Not The Charm","{'id': 21990106, 'body': ""Hello there. Sorry to hear you're no longer with us. \n\nLooks like your email and your Apple ID used two different email addresses, and as you can't have two personal accounts with us, one of them had to be closed. It does look like our support team guided you, but you have chosen not to reopen the account. \n\nIf you have remaining balances and your account was closed because it was a duplicate, this can be easily fix and you can get your refund - even if you don't wish to reopen the account. \n\nPlease reach us again by phone or email. "", 'modified': '2021-09-18T18:00:57Z'}"
